EXAMPLES,SEQUENCE
po box 1234,"[['POB0'],['POB2'],['DIGIT']]"
po box1234,"[['POB0'], ['BOXNUM']]"
po drawer 1234,"[['POB0'],['DRAWER'],['DIGIT']]"
po box #1234,"[['POB0'],['POB2'],['POUNDDIG']]"
PO BOX E,"[['POB0'], ['POB2'], ['LETTER']]"
box 999,"[['POB2'],['DIGIT']]"
post box 999,"[['POST'],['POB2'],['DIGIT']]"
pobox 999,"[['POBOX1'],['DIGIT']]"
p o box 123,"[['POST'], ['OFFICE'], ['POB2'], ['DIGIT']]"
p o drawer 123,"[['POST'], ['OFFICE'], ['DRAWER'], ['DIGIT']]"
PO BOX 1570A,"[['POB0'], ['POB2'], ['NUMS_1AL']]"
HC 65 BOX 5008,"[['POBHC'],['DIGIT'],['POB2'],['DIGIT']]"
RR 11 BOX 100,"[['POBHC'],['DIGIT'],['POB2'],['DIGIT']]"
PO BOX RKM,"[['POB0'], ['POB2'], ['ALPHA']]"
PO BOX C-847,"[['POB0'], ['POB2'], ['ALDASHDIG']]"
PO BOX 5041IG,"[['POB0'], ['POB2'], ['NUMSTR']]"
PO BOX 3277-CRS,"[['POB0'], ['POB2'], ['DIGDASHAL']]"
